Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,,PaBr21,2400,74,2461,deutscher-schachbund-ev-offen,
2,,Chillkroete77,2507,63,2427,deutscher-schachbund-ev-offen,
3,,LtAldo_Raine,2287,58,2344,7FGc9gKD,
4,,Wolpertingerwelpe,2443,54,2479,deutscher-schachbund-ev-offen,
5,,Robin_mag_nus,2209,50,2400,sische-fan,
6,,BuckT,2435,43,2389,sv-dinslaken-1923,
7,,Jaro96,2378,38,2218,deutscher-schachbund-ev-offen,
8,,Ralph74,2350,37,2300,sv-dinslaken-1923,
9,IM,Unicorn7Love,2554,34,2603,unicorn7love-fun-club,
10,,Lucas_Avedon,1961,32,2255,mada-1,
11,,Trotzki,2264,32,2194,sv-dinslaken-1923,
12,,VexedYeoman,2206,32,2177,7FGc9gKD,
13,,LucOrient,2238,29,2264,tg-biberach-club,
14,,MagnusPlayTheCatalan,2224,29,2161,deutscher-schachbund-ev-offen,
15,,T_H_E_J_O_K_E_R,1958,29,2057,mada-1,
16,,spike20,2128,28,2282,equipo-bolivar-mejor,
17,,vadimreimche,2124,28,2224,tg-biberach-club,
18,,GlukhovAn,2180,28,2168,unicorn7love-fun-club,
19,,JKheidegg,2144,28,2157,sv-dinslaken-1923,
20,,CinemaParadiso7,2083,28,2091,schachverein-mulheim-nord-1931,
21,GM,Saltaev,2488,27,2452,schachverein-mulheim-nord-1931,
22,,Micky-Maus,2438,27,2401,schachverein-mulheim-nord-1931,
23,FM,winawer1,2165,27,2155,tg-biberach-club,
24,,Braxxis,2301,26,2216,deutscher-schachbund-ev-offen,
25,,GrandMetatraPieraBe,1881,26,1822,mada-1,
26,,Sergey1Nikonov,2046,25,2051,7FGc9gKD,
27,,joeking_pan,1891,25,1931,rottaler-schachclub,
28,,ShEggs,2190,24,2367,schachverein-mulheim-nord-1931,
29,,Chekrezhov_Ivan_2009,2188,24,2100,unicorn7love-fun-club,
30,,Orlando66,1970,24,1897,equipo-bolivar-mejor,
31,,Fohlenblitz17,1974,23,2022,rottaler-schachclub,
32,,FyNyAinaK,2023,23,1968,mada-1,
33,,EliseyG10,2163,22,2280,unicorn7love-fun-club,
34,,Gendalf_white,2221,22,2223,7FGc9gKD,
35,CM,B-A-N-K-A-I,2246,22,2152,mada-1,
36,,heellooitsme,2049,22,2120,deutscher-schachbund-ev-offen,
37,,Antsa2025,2166,22,1994,mada-1,
38,,TrueTone,1945,21,2151,mada-1,
39,,Shatterhead,2151,21,2086,sv-dinslaken-1923,
40,,Doctor-love,2242,21,2004,mada-1,
41,,ismaelroudan,2046,21,2001,mada-1,
42,,hairyyak,1973,21,1952,equipo-bolivar-mejor,
43,,grv48,1980,21,1936,7FGc9gKD,
44,,Rerys,2165,20,2309,unicorn7love-fun-club,
45,,MbaOmeoMandresyZa,2165,20,2142,mada-1,
46,,lessuor,2176,20,2131,mada-1,
47,FM,Barbashinigor,2343,20,2112,7FGc9gKD,
48,,Angel_of-Darkness,1930,20,2051,mada-1,
49,,Aina_andrian,2056,20,2035,mada-1,
50,,jrkkoeln,2054,20,2022,sv-dinslaken-1923,
51,,Kapfle,1900,20,1987,tg-biberach-club,
52,,Waste1976,1933,20,1869,rottaler-schachclub,
53,,ANDRIANIRINA_Aina,1651,20,1825,mada-1,
54,,GCZ2020,2208,19,2440,sische-fan,
55,,C-O-R-B-E-A-U,1993,19,2037,mada-1,
56,,schachinka,1939,19,2011,tg-biberach-club,
57,,WeDaChris,2071,18,1955,tg-biberach-club,
58,,legaleagle78,1928,18,1897,schachverein-mulheim-nord-1931,
59,,Nantenaina401,2225,16,2202,mada-1,
60,,R_Hirzel_Sigma,1392,16,2119,sische-fan,
61,,Armel2020,1982,16,2082,equipo-bolivar-mejor,
62,,ToQwuy,1947,16,2078,mada-1,
