Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,,Piksi69,2612,72,2582,sv-jedesheim,
2,IM,Unicorn7Love,2526,55,2491,unicorn7love-fun-club,
3,FM,Fluke180,2384,54,2413,brett-vorm-kopp,
4,,V_Stepanov,2258,36,2398,Ri1Mqm5u,
5,,SluchaynazPOBEDA,2349,36,2324,3aGbUZNh,
6,,minkowski123,2263,36,2319,sv-jedesheim,
7,,ruvat,2345,34,2457,nokia-chess-club,
8,,SuperBoldi,2275,34,2349,die-gunnybarenbande,
9,,BGrinev,2188,32,2393,3aGbUZNh,
10,,Bulletexperte2,2306,32,2349,sv-jedesheim,
11,,expert239,2228,30,2195,nokia-chess-club,
12,,rabbeus,2128,28,2239,team-around-joutsa,
13,,stalf,2040,28,2147,die-gunnybarenbande,
14,,Fanta-4,2302,27,2438,sv-jedesheim,
15,,JanHextall,2248,27,2215,brett-vorm-kopp,
16,,ALias2020,2114,27,2197,froyachess,
17,,CodyJarrett,2146,27,2189,team-around-joutsa,
18,,warrior_spb,2057,27,2111,unicorn7love-fun-club,
19,,EliseyG10,2156,26,2127,unicorn7love-fun-club,
20,,Hulscher_1979,2204,25,2164,die-gunnybarenbande,
21,,Taktiktafel,2241,24,2309,die-gunnybarenbande,
22,,Gausdal,2232,24,2272,brett-vorm-kopp,
23,,Chekrezhov_Ivan_2009,2211,24,2174,unicorn7love-fun-club,
24,,AVK-0303,2240,23,2173,nokia-chess-club,
25,,rSaxeL,2140,23,2047,3aGbUZNh,
26,,zeitnotakrobat,2331,22,2421,nokia-chess-club,
27,,GlukhovAn,2189,22,2231,unicorn7love-fun-club,
28,,Chalenko_V_N,2278,21,2243,3aGbUZNh,
29,,Rvova,1959,21,1999,Ri1Mqm5u,
30,,MissClick_RUS,2048,20,2229,Ri1Mqm5u,
31,,valentindorneanu2020,2027,20,2095,froyachess,
32,,Gotthard123,2008,20,2091,die-gunnybarenbande,
33,,stefano8,1958,20,2080,froyachess,
34,,DigitalMindSet,2084,19,2107,die-gunnybarenbande,
35,,Gimalabon,2129,19,2052,nokia-chess-club,
36,,Surmach1998,2024,19,1983,3aGbUZNh,
37,,Umka33,1962,19,1964,nokia-chess-club,
38,,LucytheCat,1879,19,1873,die-gunnybarenbande,
39,NM,panpeter365,2050,18,2139,nokia-chess-club,
40,,Porky74,2014,18,2062,die-gunnybarenbande,
41,,Moeckelbaeck,1996,18,1984,die-gunnybarenbande,
42,,DkGuy,2226,17,2133,froyachess,
43,,FVG0356,2135,17,2022,Ri1Mqm5u,
