Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,,bert6209,2390,44,2317,schach-club-kreuzberg-e-v,
2,,ValMir76,2314,40,2377,rLAQU1ap,
3,,Leelpha_zero,2392,37,2386,sische-fan,
4,,Who_is_who_Berserk,2242,36,2263,rLAQU1ap,
5,,wgmmasna,2307,36,2207,brett-vorm-kopp,
6,,RobinSchaafseckel,2132,34,2251,sische-fan,
7,,Ironman-04,1907,32,1928,brett-vorm-kopp,
8,,Vladimirpschenichniy,2310,30,2374,rLAQU1ap,
9,,Rodion2203,2205,29,2206,chess-school-check,
10,,EA5Y,2028,28,2131,rLAQU1ap,
11,,Eagleshieldsbay,2247,26,2496,good-chess-amateurs,
12,,kostyukoff,2324,26,2448,rLAQU1ap,
13,FM,Charilaos2,2407,25,2589,brett-vorm-kopp,
14,,RobinundMalia,2193,25,2220,sische-fan,
15,,Steiger,2247,23,2312,good-chess-amateurs,
16,,Glaukon,2422,23,2296,schach-club-kreuzberg-e-v,
17,,kuznetsov1,2092,21,2129,rLAQU1ap,
18,,hellbvk63,2042,21,2111,brett-vorm-kopp,
19,,Passpaa,2225,20,2269,good-chess-amateurs,
20,,Osmani_p,2262,19,2305,good-chess-amateurs,
21,,kuznetsmv,2205,18,2331,chess-school-check,
22,,EliseyG10,2135,17,2212,unicorn7love-fun-club,
23,,Kengorax,2141,17,2158,good-chess-amateurs,
24,,meatwall,2078,17,2113,good-chess-amateurs,
25,,Alex050308,2092,17,1992,chess-school-check,
26,,kiwi119,2054,16,2110,sische-fan,
27,,Belsazar,2297,15,2293,schach-club-kreuzberg-e-v,
28,,Berste55,1953,15,1971,sc-rochade-berlin-ev,
29,,Robin_Caruana,2041,14,2083,sische-fan,
30,,Tupinambur,1948,14,2071,chess-school-check,
31,,Norbert_01,1937,14,2004,sc-rochade-berlin-ev,
32,,Jachtwurst,1939,14,1836,sc-rochade-berlin-ev,
33,,coltrane59,2097,13,2227,good-chess-amateurs,
34,,Miflosch,2183,13,1933,sc-rochade-berlin-ev,
35,,SYNTHESIT,2047,13,1844,chess-school-check,
36,,hannibaal76,2147,12,2593,schach-club-kreuzberg-e-v,
37,,protector10,1936,12,1963,ajedrez--las-higueras-,
38,,KurtKong,2082,12,1913,sc-rochade-berlin-ev,
39,,dimonuakr4,1878,12,1899,rLAQU1ap,
40,,DoktorILL,2358,11,2365,brett-vorm-kopp,
41,,MarkTov,1998,11,1946,chess-school-check,
42,,BogdanVolkovUA,1701,11,1744,rLAQU1ap,
43,,zettazero,2055,10,2255,sische-fan,
44,,zonk123,2104,10,1933,schach-club-kreuzberg-e-v,
45,,Chessvisitor2020,1915,10,1879,rLAQU1ap,
46,,Krika_C_mIshkoI,1697,10,1852,unicorn7love-fun-club,
47,,Gausdal,2192,9,1999,brett-vorm-kopp,
48,,Jagielo,1962,9,1845,sc-rochade-berlin-ev,
49,,orly38,1815,9,1792,ajedrez--las-higueras-,
50,,Minfrad,2166,8,2203,schach-club-kreuzberg-e-v,
51,,PORTOSIV,2042,8,2106,ajedrez--las-higueras-,
52,,Jasperholger,1482,8,1738,sc-rochade-berlin-ev,
53,,Sische,2335,6,2021,sische-fan,
54,,Titan1963,1795,6,1808,rLAQU1ap,
55,,EMBix9,1801,5,2361,schach-club-kreuzberg-e-v,
56,,nogarD_eht,1942,5,2028,good-chess-amateurs,
57,,libby1,1788,4,2019,schach-club-kreuzberg-e-v,
58,,Florianundso,1779,4,1918,schach-club-kreuzberg-e-v,
59,FM,dmitry1968,2166,4,1909,chess-school-check,
60,,luisalberto007,1482,4,1861,ajedrez--las-higueras-,
61,,Zebulah,1944,4,1789,good-chess-amateurs,
62,,Eusekevin,1896,4,1702,ajedrez--las-higueras-,
63,,GCZ2020,2208,3,2081,sische-fan,
64,,geissel,2039,3,1981,brett-vorm-kopp,
65,,Nohayquintomalo,1980,3,1931,ajedrez--las-higueras-,
66,,fokilokium,2113,3,1907,ajedrez--las-higueras-,
67,,Wiesen81,1852,3,1817,schach-club-kreuzberg-e-v,
68,,GlukhovAn,2191,3,1777,unicorn7love-fun-club,
69,,Coffee-House-Chess,2295,3,1702,sische-fan,
70,,ARTUR_CLOWN-MAN,2230,2,2581,rLAQU1ap,
71,,Marqu1s,1879,2,2420,unicorn7love-fun-club,
72,,Robin_mag_nus,2217,2,2270,sische-fan,
73,,Carlos3182,1747,2,2233,ajedrez--las-higueras-,
74,,Fear_No_Fails,2172,2,2042,unicorn7love-fun-club,
75,,the1andonlyBigG,1951,2,1996,brett-vorm-kopp,
76,,skrambler,1942,2,1906,good-chess-amateurs,
77,,luisdeav,2062,1,2355,ajedrez--las-higueras-,
78,,Bjurf,1720,1,1591,good-chess-amateurs,
79,,Kanake04,2182,0,,sische-fan,
80,,jorgeeespinoza,2108,0,,ajedrez--las-higueras-,
81,,PeonPasado15,2044,0,,ajedrez--las-higueras-,
82,,Altarser,1922,0,,ajedrez--las-higueras-,
83,,Erahm,1738,0,,unicorn7love-fun-club,
84,,SOYUNGATITO,2028,0,1588,ajedrez--las-higueras-,
85,,Hochdorf2020,2240,0,1550,sische-fan,
86,,Alfil_Negro_007,1725,0,1531,ajedrez--las-higueras-,
87,,Ahniia09,1388,0,1515,rLAQU1ap,
88,,melenasita,1481,0,,ajedrez--las-higueras-,
89,,JoseVilca,1779,0,1472,ajedrez--las-higueras-,
90,,Apusquisqui,1980,0,1459,ajedrez--las-higueras-,
91,,DRLEONEL,1900,0,1431,ajedrez--las-higueras-,
92,,maslo_5658,1160,0,1304,unicorn7love-fun-club,
