Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,FM,uhlmannfan,2519,68,2490,dusseldorfer-schachklub-dsk-191425,
2,IM,Unicorn7Love,2537,58,2293,unicorn7love-fun-club,
3,,Axel-BS,2168,46,2353,dusseldorfer-schachklub-dsk-191425,
4,FM,Barbashinigor,2413,45,2494,7FGc9gKD,
5,,PistolPete760912,2097,41,2455,sv-hellern,
6,,cgfhnf,2195,33,2205,7FGc9gKD,
7,,VVV-31,2208,31,2345,sv-hellern,
8,,Chekrezhov_Ivan_2009,2214,30,2249,unicorn7love-fun-club,
9,,Poblesk,2462,30,2048,eecA2R3b,
10,,VexedYeoman,2234,29,2077,7FGc9gKD,
11,FM,don_cuoco,2407,26,2470,dusseldorfer-schachklub-dsk-191425,
12,,janengfeldt,2163,26,2213,schachfreunde-kreis-wesel,
13,,RostMatvej,1880,26,1948,eecA2R3b,
14,,Kostya0723,2177,25,2085,gpn_club,
15,,GlukhovAn,2186,24,2205,unicorn7love-fun-club,
16,,lisnik,2139,24,2161,eecA2R3b,
17,,Woelfie123,2119,24,2047,sv-hellern,
18,,IgorNds,1897,24,1976,eecA2R3b,
19,,Zakharchuk,2097,23,2020,eecA2R3b,
20,,Fazer1967,2082,22,2225,dusseldorfer-schachklub-dsk-191425,
21,,Roadrunner57,2240,22,2218,schachfreunde-kreis-wesel,
22,,Sergey1Nikonov,2059,22,2067,7FGc9gKD,
23,,MP-80,2080,22,2004,eecA2R3b,
24,,Dzenin,1793,22,1905,7FGc9gKD,
25,,STEHOS,2126,21,2225,eecA2R3b,
26,,AleksBuk,2113,21,2074,lZEV8cdI,
27,,Fear_No_Fails,2179,19,2167,unicorn7love-fun-club,
28,,Partizan100,2555,18,2399,sv-hellern,
29,,chessplayerthefut,2162,18,2092,7FGc9gKD,
30,,josepSJV,2031,18,1985,osona-i-voltants-lichess,
31,,mikerosofft,2179,17,2479,sv-hellern,
32,,Da_Big_Un,2095,17,2243,dusseldorfer-schachklub-dsk-191425,
33,,Trumpf99,2203,17,2230,schachfreunde-kreis-wesel,
34,,Gendalf_white,2200,17,2184,7FGc9gKD,
35,,DonQuijote23,2189,17,2056,sv-hellern,
36,,KULAKOV_VN,1997,17,1975,lZEV8cdI,
37,,Bogdan_Bukovskyy,2037,15,2127,eecA2R3b,
38,,A68,2021,15,2026,schachfreunde-kreis-wesel,
39,,sergey12347,1906,15,1975,lZEV8cdI,
40,,LuleaSweden,2112,14,2035,schachfreunde-kreis-wesel,
41,,sgigerin,2243,13,2368,lZEV8cdI,
