Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,IM,Unicorn7Love,2510,73,2357,unicorn7love-fun-club,
2,,MW1966,2489,65,2561,sv-1920-hofheim,
3,,sahborca,2218,60,2383,sk-borca,
4,,Bulletexperte2,2310,42,2281,sv-jedesheim,
5,,NikolaMatic,2351,40,2410,sk-borca,
6,,minkowski123,2284,39,2297,sv-jedesheim,
7,,crnijr,2094,38,2144,sk-borca,
8,,Iriney_431,2415,37,2406,ChfzrMPn,
9,,snzvenom,2289,35,2223,ChfzrMPn,
10,,SacrificialMaster,2504,34,2453,froyachess,
11,,arzenios,2217,34,2252,froyachess,
12,,Fanta-4,2260,33,2305,sv-jedesheim,
13,,Chekrezhov_Ivan_2009,2234,31,2323,unicorn7love-fun-club,
14,,Sokolov_Andrei,2143,29,2051,ChfzrMPn,
15,,MagomedLushnikov,2104,28,2211,3pe91Ykb,
16,,Rkty,1989,28,2082,3pe91Ykb,
17,,porosjator,2064,27,2033,ChfzrMPn,
18,,dr54,1992,27,2023,sk-borca,
19,,schieferberg,2088,27,1975,sv-1920-hofheim,
20,,PhoebeSpalter,2345,26,2402,arturblunder,
21,,nyr-75,2111,26,2242,3pe91Ykb,
22,,leguleyin,2108,26,2189,time-waterfall,
23,,redltibor71,2032,24,2244,time-waterfall,
24,,Alij_77,2228,24,2126,ChfzrMPn,
25,,CuBuCoko,2255,22,2267,sk-borca,
26,,Lobao42,2065,22,2102,sv-1920-hofheim,
27,,GlukhovAn,2157,21,2229,unicorn7love-fun-club,
28,,DrFranky001,2178,21,2154,sv-1920-hofheim,
29,,DkGuy,2220,21,2136,froyachess,
30,,HansKrebs12,2267,21,2123,sv-jedesheim,
31,,Be_e,2188,21,2061,time-waterfall,
32,,newcomer55,2168,20,2026,time-waterfall,
33,,mailija,1945,20,1971,sk-borca,
34,,Reuf,2020,20,1951,time-waterfall,
35,,VovaDrago,1264,20,1777,3pe91Ykb,
36,,Rerys,2171,19,2221,unicorn7love-fun-club,
37,,Babich_yes,1965,19,2139,time-waterfall,
38,,ALias2020,2108,19,1980,froyachess,
39,,BobbySer,1966,17,1728,sk-borca,
40,,froyasjakk,1839,16,1787,froyachess,
41,,VetalPriz1991,1709,16,1729,3pe91Ykb,
42,,Maestro7438,1951,14,2124,ChfzrMPn,
43,,Fedorius,1576,14,1858,unicorn7love-fun-club,
44,,Cvijan,2113,13,1815,sk-borca,
45,,Bernhard_Gambit,1884,13,1750,sv-jedesheim,
46,,ChessAlex50,2260,12,2228,3pe91Ykb,
47,,foxi2020,1834,12,1926,sv-1920-hofheim,
48,,Petrofan-V,1979,12,1822,time-waterfall,
49,,stoyanovpavel,2002,11,2184,ChfzrMPn,
50,,shimmerwolf,1724,11,1767,froyachess,
51,,Miha_La,2045,9,2115,3pe91Ykb,
52,,Vitalionoff,1841,8,2243,time-waterfall,
53,,Bakif1959,1819,8,1812,3pe91Ykb,
54,,TheUglyChessNewbie,1777,8,1630,froyachess,
55,,BangBangBangDrama,2108,7,2255,froyachess,
56,,Berrcules,1636,7,1735,3pe91Ykb,
57,,HALion_222,1971,7,1723,froyachess,
58,,Angry_Khinkali,2105,6,2093,ChfzrMPn,
59,,EliseyG10,2093,6,1822,unicorn7love-fun-club,
60,,nordel,1840,6,1761,sv-1920-hofheim,
61,,CrazyRussian1000,1474,6,1651,unicorn7love-fun-club,
62,,hipoattack,1597,6,1475,froyachess,
63,,ACM_AlexQuark,1776,5,1787,time-waterfall,
64,,LubiTel_Puli,2399,4,2412,3pe91Ykb,
65,,meekrob,1983,4,1867,froyachess,
66,,riesel,2059,3,2070,sv-1920-hofheim,
67,,ModerMark,1891,3,1876,unicorn7love-fun-club,
68,,Michailovish72,1938,3,1842,3pe91Ykb,
69,,supermario_007,1631,2,2125,time-waterfall,
70,,Erik_kuz,1790,2,1966,time-waterfall,
71,,Cheffgatt,2005,2,1843,schachklub-giessen,
72,,ALFREDV74,1586,2,1560,ChfzrMPn,
73,,tors42,1693,2,1505,froyachess,
74,,karanja3d,1544,2,1343,froyachess,
75,,Schach-Biene,1569,1,1416,sv-jedesheim,
76,,klafue,1827,1,1392,sv-1920-hofheim,
77,,Arturblunder,2314,0,,arturblunder,
78,,Experimentator1,2247,0,,ChfzrMPn,
79,,FreemanOrch,2117,0,,sk-borca,
80,,skborca,2045,0,,sk-borca,
81,,taske956,2035,0,,sk-borca,
82,,Royal_Seeker,2029,0,,sv-1920-hofheim,
83,,Mangyen,2037,0,2009,sv-1920-hofheim,
84,,ratko46,1990,0,,sk-borca,
85,,Frenchdismas,1963,0,,time-waterfall,
86,,DMAKA2,1629,0,,unicorn7love-fun-club,
87,,krasheninnikov,1692,0,1598,time-waterfall,
88,,Pln012,1525,0,,time-waterfall,
89,,D_A_N_I_Y_A_R,1503,0,,unicorn7love-fun-club,
90,,LinuxBrickie,1484,0,,froyachess,
91,,gagarinwin,1101,0,1384,unicorn7love-fun-club,
92,,Rocketcares,1619,0,1063,ChfzrMPn,
