Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,,sack22,2465,38,2395,birman-and-half,
2,,bert6209,2425,37,2461,schach-club-kreuzberg-e-v,
3,IM,Unicorn7Love,2494,34,2242,unicorn7love-fun-club,
4,,karasso,2303,30,2447,fc-bayern-munchen-schachabteilung,
5,FM,Mkarp,2356,29,2569,birman-and-half,
6,,Ksa1992,2275,29,2354,KUKXWvZs,
7,,BainaFlorid,2457,28,2427,cda-maspalomas-b-gran-canaria,
8,,Chekrezhov_Ivan_2009,2249,28,2391,unicorn7love-fun-club,
9,,BenZionZigler,2183,27,2342,birman-and-half,
10,,LordCommander64,2261,26,2236,cda-maspalomas-b-gran-canaria,
11,FM,winawer1,2172,25,2270,tg-biberach-club,
12,,bob4555,2149,25,2214,tim-8x8,
13,,Veseris0,2273,24,2364,cda-maspalomas-b-gran-canaria,
14,,Jdejan1971,2250,23,2400,tim-8x8,
15,,Ante44,2071,23,2295,fc-bayern-munchen-schachabteilung,
16,,Trissi_01,2059,23,2064,traveschach-schachabteilung-des-tsv-travemunde,
17,,Osterhaeschen,2146,22,2121,traveschach-schachabteilung-des-tsv-travemunde,
18,,Minfrad,2184,21,2281,schach-club-kreuzberg-e-v,
19,,SirFaSunnyBoy,2190,21,2250,fc-bayern-munchen-schachabteilung,
20,,Lindemanns,2271,20,2413,birman-and-half,
21,,hannibaal76,2106,20,2176,schach-club-kreuzberg-e-v,
22,,dimi1947,2067,20,2134,tim-8x8,
23,,ShemonaevEvgeniy_84,2057,20,2032,KUKXWvZs,
24,,FreshIngvard,2197,19,2288,KUKXWvZs,
25,,irafyodorova,2074,19,2212,KUKXWvZs,
26,,Bauernangriff100,2081,19,2100,traveschach-schachabteilung-des-tsv-travemunde,
27,,Dragon_asado,1932,18,2206,cda-maspalomas-b-gran-canaria,
28,,Nicolai68,2088,18,2077,tg-biberach-club,
29,,milmat,2162,18,1812,tim-8x8,
30,,ishchess,2154,17,2288,birman-and-half,
31,,Bajamali,2237,17,2091,tg-biberach-club,
32,,VojvodaPop,2020,17,1998,tim-8x8,
33,,MiniBlishe,2001,17,1990,intentar-master,
34,,zorrovaz,1810,17,1791,intentar-master,
35,,milepetrovic,2107,16,2190,tim-8x8,
36,,zonk123,2111,16,2177,schach-club-kreuzberg-e-v,
37,,tmerk75,2097,16,2099,tg-biberach-club,
38,,FCB-JWengler,2156,16,2024,fc-bayern-munchen-schachabteilung,
39,,CvijetinPop,2001,16,1977,tim-8x8,
40,,Leonid_A,2113,15,2137,birman-and-half,
41,,Kurald_Galain,2710,15,2132,fc-bayern-munchen-schachabteilung,
42,,schoasch,2051,15,2128,schach-club-kreuzberg-e-v,
43,,Krika_C_mIshkoI,1760,15,2102,unicorn7love-fun-club,
44,,I_N_T,2405,15,2037,KUKXWvZs,
45,,CCHIGHNOON,2109,15,2029,traveschach-schachabteilung-des-tsv-travemunde,
46,,amichaikk,2039,15,2024,birman-and-half,
47,,BalticPirate,2040,15,2003,traveschach-schachabteilung-des-tsv-travemunde,
48,,senkin,2085,15,1980,tim-8x8,
49,,Doggenhorst,1931,15,1815,traveschach-schachabteilung-des-tsv-travemunde,
50,,Ermattet,2018,14,2311,traveschach-schachabteilung-des-tsv-travemunde,
51,,vladalekic,2082,14,2204,tim-8x8,
52,,hectorPabloHernandez,1885,14,1901,intentar-master,
53,,vadimreimche,2082,13,2121,tg-biberach-club,
54,,Milijan,2129,13,2084,tim-8x8,
55,,Raxz14,1974,13,1962,intentar-master,
56,,javipe2022,2099,13,1960,cda-maspalomas-b-gran-canaria,
57,,nemirena,2062,13,1939,tim-8x8,
58,,juliokidmate,1893,13,1886,intentar-master,
59,,stazyyyy757,1937,12,2016,unicorn7love-fun-club,
60,,Perichete,1811,12,1890,cda-maspalomas-b-gran-canaria,
61,,gabisol,2027,11,1932,fc-bayern-munchen-schachabteilung,
62,,Hidderhoekie,2098,10,2158,fc-bayern-munchen-schachabteilung,
63,,anha5005,1993,10,1951,tg-biberach-club,
64,,WeDaChris,2057,10,1883,tg-biberach-club,
65,,Filiovskiy,1862,10,1728,KUKXWvZs,
66,,Matiasagustin100,1902,10,1634,intentar-master,
67,,the_dangerous_pawn,2099,9,2134,tg-biberach-club,
68,FM,camaronbrujo20,2280,9,2127,intentar-master,
69,,Julzerino,2202,9,2035,schach-club-kreuzberg-e-v,
70,,libby1,1781,9,1843,schach-club-kreuzberg-e-v,
71,,Manuel2274,2005,9,1780,intentar-master,
72,,GSA_RU,1545,9,1780,KUKXWvZs,
73,,nablo,1648,9,1771,traveschach-schachabteilung-des-tsv-travemunde,
74,,juergen-nostradamus,1833,9,1670,tg-biberach-club,
75,,Trenert,1984,8,2129,KUKXWvZs,
76,,Kapfle,1980,8,1820,tg-biberach-club,
77,,GGSchachkoenigin,1535,8,1668,cda-maspalomas-b-gran-canaria,
78,,VladislavPal,1919,8,1550,KUKXWvZs,
79,,Prostoi_shahmatist,1196,7,1661,KUKXWvZs,
80,,JaimeBenjamin2003,1332,7,1567,intentar-master,
81,,ljupko1966,2325,6,2072,tim-8x8,
82,,kresimir60,2064,6,1970,tim-8x8,
83,,EMBix9,1872,6,1918,schach-club-kreuzberg-e-v,
84,,harkne,1970,6,1864,fc-bayern-munchen-schachabteilung,
85,,estebanminetti,1591,6,1771,intentar-master,
86,FM,manerolocrazo,2320,5,1937,intentar-master,
87,,HarrySoul,2030,5,1841,cda-maspalomas-b-gran-canaria,
88,,Iton321,1595,5,1706,KUKXWvZs,
89,,raulitochess,2026,4,2040,intentar-master,
90,,NGGYU_089,2154,4,2009,fc-bayern-munchen-schachabteilung,
91,,EliseyG10,2099,4,1900,unicorn7love-fun-club,
92,,paolanievas,1740,3,1802,intentar-master,
93,,Marqu1s,1882,3,1774,unicorn7love-fun-club,
94,,GlukhovAn,2169,3,1763,unicorn7love-fun-club,
95,,AardChess,2177,3,1396,traveschach-schachabteilung-des-tsv-travemunde,
96,,Fabrixxx,1277,2,2045,intentar-master,
97,,santino2025,1469,2,1812,intentar-master,
98,,juanfederico,1921,2,1708,intentar-master,
99,,Fedorius,1578,2,1607,unicorn7love-fun-club,
100,,JonasD7,1937,1,1857,schach-club-kreuzberg-e-v,
101,,CrazyRussian1000,1486,1,1650,unicorn7love-fun-club,
102,,Dario_Presza,1762,1,1519,intentar-master,
103,,KnightBayard,1611,1,1407,unicorn7love-fun-club,
104,,B35_21,2190,0,,cda-maspalomas-b-gran-canaria,
105,,Viper_de_La_Muerte,2054,0,,tim-8x8,
106,,fedeacdelu,1951,0,,intentar-master,
107,,Apolo_17_21,1950,0,,cda-maspalomas-b-gran-canaria,
108,,manf2019,1870,0,,cda-maspalomas-b-gran-canaria,
109,,Ares_23,1825,0,,cda-maspalomas-b-gran-canaria,
110,,Zeus_Bill,1810,0,,cda-maspalomas-b-gran-canaria,
111,,pdriguez2000,1776,0,,intentar-master,
112,,hiroki6,2181,0,1687,schach-club-kreuzberg-e-v,
113,,DMAKA2,1634,0,,unicorn7love-fun-club,
114,,D_A_N_I_Y_A_R,1522,0,,unicorn7love-fun-club,
115,,RibbiS77,1447,0,1509,KUKXWvZs,
116,,Maspa24,1253,0,,cda-maspalomas-b-gran-canaria,
