Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,,web5ite,2249,67,2462,ChfzrMPn,
2,IM,Unicorn7Love,2517,52,2388,unicorn7love-fun-club,
3,FM,DBBM,2362,49,2554,team__b,
4,,Chekrezhov_Ivan_2009,2246,41,2269,unicorn7love-fun-club,
5,,Rossolimo65,2196,37,2331,schachverein-kamen-1930,
6,,littlejoedo,2205,36,2303,schachverein-kamen-1930,
7,,snzvenom,2290,32,2373,ChfzrMPn,
8,,HelloIamMarc,2180,32,2240,sf-plochingen,
9,,GreenTeaMonkey,2267,30,2259,oberhausener-schachverein-1887,
10,,Jikolat,2094,28,2124,ChfzrMPn,
11,,ShadowDog,2166,25,2266,schachverein-kamen-1930,
12,,dmtom,2097,25,2163,team__b,
13,,Bataa1111,2127,24,2150,lZEV8cdI,
14,,segonov,2099,24,2108,dnL8krig,
15,,hadz1956,2217,23,2305,schachverein-kamen-1930,
16,,Resurr3ction,2217,23,2222,oberhausener-schachverein-1887,
17,,porosjator,2106,23,2199,ChfzrMPn,
18,,CuBuCoko,2243,23,2171,sk-borca,
19,,sahborca,2181,23,2050,sk-borca,
20,,VolkovArtem,2039,22,2169,dnL8krig,
21,,EliseyG10,2123,22,2145,unicorn7love-fun-club,
22,,mailija,1970,22,2053,sk-borca,
23,,ThiKu,1906,22,1978,team__b,
24,,dr54,1981,22,1937,sk-borca,
25,,Gennadiy1958,2015,21,2020,lZEV8cdI,
26,,BobbySer,2000,21,1900,sk-borca,
27,,Ungewohnt,2469,20,2523,team__b,
28,,crnijr,2075,20,2020,sk-borca,
29,,akttiv,2074,19,2023,romania-live-chess,
30,,RobertdN68,1959,19,1903,sf-plochingen,
31,,Igorklepikov1970,1980,19,1870,dnL8krig,
32,,sgigerin,2291,18,2170,lZEV8cdI,
33,,zbogdan185,2245,18,2127,dnL8krig,
34,,eggenspielen13,2190,17,2213,sf-plochingen,
35,,HecarimOTP,1988,17,1995,sk-borca,
36,,moppel1966,2204,16,2182,oberhausener-schachverein-1887,
37,,Katzinka,2017,16,2180,schachverein-kamen-1930,
38,,kistenfeger,1653,16,2038,sf-plochingen,
39,,Tom_and_Jerry2024,1962,16,1899,unicorn7love-fun-club,
40,,alex_pfaff_willsbach,2112,15,2135,sf-plochingen,
41,,CnPv3vca,2130,15,2058,team__b,
42,,Cooles-Team,1908,15,1870,lZEV8cdI,
43,,AleksBuk,2015,15,1844,lZEV8cdI,
44,,IzAlex,2043,14,2069,ChfzrMPn,
45,,Cvijan,2137,14,2066,sk-borca,
46,,Thompson67,2017,14,2054,sf-plochingen,
47,,Alex310574,1853,14,1810,dnL8krig,
48,,KnightBayard,1635,14,1809,unicorn7love-fun-club,
49,,pluto16,2142,13,2044,sf-plochingen,
50,,Tudorache_M,2099,13,1992,romania-live-chess,
51,,raf2585,2100,13,1957,lZEV8cdI,
52,,Tegelort,2084,12,2090,schachverein-kamen-1930,
53,,thomasrich,2053,12,2033,schachverein-kamen-1930,
54,,BEPCTAK,2069,12,2024,lZEV8cdI,
55,,kingofdracula,2215,11,2019,romania-live-chess,
56,,OSV1887,2039,11,1951,oberhausener-schachverein-1887,
57,,taske956,2020,11,1846,sk-borca,
58,,Wash8Cap,1967,10,1931,dnL8krig,
59,,Sokolov_Andrei,2117,10,1709,ChfzrMPn,
60,,Jocker2282,1936,9,2025,dnL8krig,
61,,Hans-Helmut,1757,9,1682,team__b,
62,,Ararat_K,1910,8,2140,dnL8krig,
63,,viktor08,1794,8,1853,lZEV8cdI,
64,,OSV87Karl49,1669,8,1668,oberhausener-schachverein-1887,
65,,fanradu77,1928,7,2064,oberhausener-schachverein-1887,
66,,sergey12347,1927,7,1958,lZEV8cdI,
67,,ZayatsAndreyA,1977,7,1869,ChfzrMPn,
68,,damir1984,1990,7,1810,ChfzrMPn,
69,,Corky49,1704,7,1688,oberhausener-schachverein-1887,
70,,cannypawn,1859,5,1818,oberhausener-schachverein-1887,
71,,Fedorius,1589,5,1672,unicorn7love-fun-club,
72,,Nordlicht_70,1895,4,1901,team__b,
73,,KULAKOV_VN,1996,4,1878,lZEV8cdI,
74,,yosah,1993,4,1763,romania-live-chess,
75,,firefelix0382,1718,4,1664,oberhausener-schachverein-1887,
76,,Jeggy263,1565,4,1582,oberhausener-schachverein-1887,
77,,ModerMark,1907,3,2449,unicorn7love-fun-club,
78,,Fiorge,2261,3,2101,dnL8krig,
79,,mrKori,1864,3,1512,ChfzrMPn,
80,,QWERTY35645678999,1807,2,2514,ChfzrMPn,
81,,chessceres,2049,2,2023,sf-plochingen,
82,,Pahomi-Gheorghe,2003,2,1932,romania-live-chess,
83,,Leforty,1949,2,1699,ChfzrMPn,
84,,Krika_C_mIshkoI,1748,2,1684,unicorn7love-fun-club,
85,,Experimentator1,2276,0,,ChfzrMPn,
86,,GHM-777,2041,0,,unicorn7love-fun-club,
87,,Malkolmn,1990,0,,lZEV8cdI,
88,,donnerheik,1944,0,,schachverein-kamen-1930,
89,,NickOil,1711,0,,unicorn7love-fun-club,
90,,TEJIO_TECJIbI,1145,0,1710,unicorn7love-fun-club,
91,,Guenther-Grunwald,1610,0,1533,oberhausener-schachverein-1887,
92,,D_A_N_I_Y_A_R,1528,0,,unicorn7love-fun-club,
93,,DORU-66,1841,0,1454,romania-live-chess,
94,,maslo_5658,1132,0,1429,unicorn7love-fun-club,
95,,nesatalj,1478,0,1399,sk-borca,
96,,gagarinwin,1098,0,1391,unicorn7love-fun-club,
