Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,IM,Unicorn7Love,2549,68,2450,unicorn7love-fun-club,
2,FM,kabanosi,2402,56,2482,bazar-wokzal-chess,
3,FM,jeffforever,2525,53,2569,rochade-europa-schachzeitung,
4,,Schachelmut,2347,51,2412,rochade-europa-schachzeitung,
5,,apigabudebakel123,2267,48,2582,east-tornado,
6,,Eric_Manet,2348,45,2438,apprendre-les-echecs-la-team,
7,GM,BIZOO,2630,45,2421,apprendre-les-echecs-la-team,
8,,Chekrezhov_Ivan_2009,2206,42,2075,unicorn7love-fun-club,
9,,Miker10,2076,37,2201,sc-1892-kaufbeuren,
10,,kneggl,2146,34,2171,sc-1892-kaufbeuren,
11,,donquijote82,2179,33,2168,sf-90-spraitbach,
12,,Victor_Resicknovich,2274,32,2299,sf-90-spraitbach,
13,,Mr_Bulletproof,2112,32,2172,traveschach-schachabteilung-des-tsv-travemunde,
14,,BalazsA,2099,32,2132,east-tornado,
15,,CCHIGHNOON,2136,30,2146,traveschach-schachabteilung-des-tsv-travemunde,
16,,BalticPirate,2058,30,2082,traveschach-schachabteilung-des-tsv-travemunde,
17,,Strani_Placenik70,1987,30,1968,sf-90-spraitbach,
18,,Kaicensama,2366,29,2252,sc-1892-kaufbeuren,
19,,Brutalu,2093,29,2194,east-tornado,
20,,hepek73,2250,29,2175,sf-90-spraitbach,
21,,Trissi_01,2093,29,2114,traveschach-schachabteilung-des-tsv-travemunde,
22,,Osterhaeschen,2086,29,2069,traveschach-schachabteilung-des-tsv-travemunde,
23,,king78f,2174,27,2184,sf-90-spraitbach,
24,,Eugene_Gordeev,2360,25,2335,bazar-wokzal-chess,
25,,Thoeni21,2114,25,2139,sc-1892-kaufbeuren,
26,,Nessmyslov,2038,25,2098,bazar-wokzal-chess,
27,,Efimenko,2404,24,2464,sf-90-spraitbach,
28,,laci2765,2198,24,2282,east-tornado,
29,,Alois70t,2241,23,2205,rochade-europa-schachzeitung,
