Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,,Passpaa,2195,39,2331,good-chess-amateurs,
2,,whenrooksfly,2331,37,2543,lichess4545-league,
3,GM,titan00013,2531,37,2429,gmi_ng_chess,
4,,Springer777,2301,29,2304,sv-1892-schwarzheide-ev,
5,,Taimyr1547,2166,26,2245,aIEepBfe,
6,,hradracc,2009,25,2061,sk07,
7,,leartt,2221,24,2346,lichess4545-league,
8,,SYNTHESIT,2088,24,2173,chess-school-check,
9,,Tom_and_Jerry2024,1979,24,2057,unicorn7love-fun-club,
10,,Chekrezhov_Ivan_2009,2171,24,2036,unicorn7love-fun-club,
11,,Manfor,1998,23,2275,aIEepBfe,
12,,VEBSynthesewerk,2214,23,2128,sv-1892-schwarzheide-ev,
13,,Wolfgang_Wegmann,2090,22,2142,sk07,
14,,Bierpaul,2240,20,2362,sv-1892-schwarzheide-ev,
15,,Recobachess,2457,20,2311,tb9gbVME,
16,,Kriegbaum,2146,19,2254,sk07,
17,,aleksey19722812,1980,19,2118,aIEepBfe,
18,,ViktorSergeevich,1706,19,1787,aIEepBfe,
19,IM,Unicorn7Love,2581,18,2506,unicorn7love-fun-club,
20,,Ngandung,2314,18,2169,sv-1892-schwarzheide-ev,
21,,Zuvielisation,1968,18,1968,sk07,
22,,Kengorax,2034,17,2100,good-chess-amateurs,
23,,Mustvee,1928,16,2191,tb9gbVME,
24,,Alexandr_212,2211,16,2114,maska-x,
25,,RobEisler,2150,16,2088,lichess4545-league,
26,,EliseyG10,2073,16,1945,unicorn7love-fun-club,
27,CM,FearlessKing64,2262,15,2004,lichess4545-league,
28,,Hausmann1,1806,15,1733,sv-1892-schwarzheide-ev,
29,,Paldiski,2083,14,2309,tb9gbVME,
30,,j3084,2020,14,2141,lichess4545-league,
31,,fogg68,2245,14,2137,tb9gbVME,
32,,Jenajens,2063,14,1960,sv-1892-schwarzheide-ev,
33,,LeonidSmirnov,2320,13,1908,tb9gbVME,
34,,ALEX183492761,2421,12,2403,gmi_ng_chess,
35,,DoctorrShuvaev,2215,12,2361,aIEepBfe,
36,,Classic-555,2045,12,2209,aIEepBfe,
37,,Bassel48,2161,12,2194,aIEepBfe,
38,,Tupinambur,1934,12,2036,chess-school-check,
39,,Treeon,1962,12,2025,maska-x,
40,,Serg0059,1861,12,1932,aIEepBfe,
41,,Min943,1814,12,1875,maska-x,
42,,gebrov,1761,12,1783,sk07,
43,,igor1984,1851,11,2216,aIEepBfe,
44,,Pochaenok,2015,11,2072,tb9gbVME,
45,,SpeedBelChess,2064,11,2034,aIEepBfe,
46,,Robin_Good_chess,2117,11,1968,tb9gbVME,
47,,TheEnisey88,2193,11,1913,aIEepBfe,
48,,Axel_F2,1816,11,1861,sv-1892-schwarzheide-ev,
49,,Chess_50,1841,11,1858,aIEepBfe,
50,,Anufriev_Vasiliy,2181,10,2279,aIEepBfe,
51,,Zebulah,1945,10,1920,good-chess-amateurs,
52,,SashaLiasotskiy,1743,10,1849,maska-x,
53,,St1erL1Tz,1846,10,1718,maska-x,
54,,Gingersquirrelnuts,1593,8,1704,lichess4545-league,
55,,nogarD_eht,1884,7,1813,good-chess-amateurs,
56,,AvReshetnyak,2304,6,1881,aIEepBfe,
57,,mickdu44800,1781,6,1776,gmi_ng_chess,
58,,metabel,1832,6,1749,aIEepBfe,
59,,KnightBayard,1649,6,1579,unicorn7love-fun-club,
60,,Despair911,1728,5,1827,maska-x,
61,,Maxim_Bondarenko,1716,5,1640,unicorn7love-fun-club,
62,,kuznetsmv,2240,4,2088,chess-school-check,
63,,pawneater2020,1634,4,1837,lichess4545-league,
64,,skrambler,1947,4,1710,good-chess-amateurs,
65,,fork2020,1840,4,1670,lichess4545-league,
66,,nobby1212,1469,4,1447,sk07,
67,,jecpasouver,2187,3,1896,gmi_ng_chess,
68,,Marwan7184,1709,3,1455,good-chess-amateurs,
69,,Marqu1s,1920,2,2594,unicorn7love-fun-club,
70,,MaxKru,1869,2,1794,aIEepBfe,
71,,mishurashi2505,2086,2,1701,maska-x,
72,,UncleAU,1869,2,1464,chess-school-check,
73,,fereol,1421,2,1439,gmi_ng_chess,
74,,LegendAlive,1996,0,,gmi_ng_chess,
75,,MaximKhv,2256,0,1797,aIEepBfe,
76,,gagarinwin,1084,0,1582,unicorn7love-fun-club,
77,,D_A_N_I_Y_A_R,1537,0,,unicorn7love-fun-club,
78,,glbert,1463,0,,lichess4545-league,
79,,maslo_5658,1170,0,1371,unicorn7love-fun-club,
80,,Alex_kir88,1637,0,1319,maska-x,
