Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,,KinguBabbar,2327,39,2469,rochade-europa-schachzeitung,
2,,schachkasper64,2271,39,2418,oberhausener-schachverein-1887,
3,,sack22,2394,38,2393,birman-and-half,
4,,Matenpocas,2343,37,2364,v-centenario,
5,,FromRassiawhislove,2312,33,2207,----club-names-mikhail-chigorin,
6,FM,Mkarp,2317,33,2160,birman-and-half,
7,,sahborca,2175,33,2153,sk-borca,
8,,BobbySer,2064,29,2524,sk-borca,
9,,Th3D4rkKnigthRis3s,2153,29,2420,ajedrez--las-higueras-,
10,,Schachelmut,2373,27,2388,rochade-europa-schachzeitung,
11,,crnijr,2065,25,2075,sk-borca,
12,,CAMBISES,2124,24,2149,v-centenario,
13,,Evyamat,2409,23,2327,birman-and-half,
14,,Cvijan,2142,23,2245,sk-borca,
15,,knot15,2191,22,2123,----club-names-mikhail-chigorin,
16,,Dariana2003,1544,21,2437,unicorn7love-fun-club,
17,,rompon,2125,20,2219,ajedrez--las-higueras-,
18,,inster,2199,20,2216,----club-names-mikhail-chigorin,
19,,poyahoho,2341,19,2427,rochade-europa-schachzeitung,
20,,raulmaf,2213,19,2374,v-centenario,
21,,Evgeny86,2123,18,2274,----club-names-mikhail-chigorin,
22,,JancoGj,1835,18,1861,rochade-europa-schachzeitung,
23,,sansechess,2206,17,2302,v-centenario,
24,,Konstantinopolsky92,2133,17,2213,rochade-europa-schachzeitung,
25,,GreenTeaMonkey,2234,17,2105,oberhausener-schachverein-1887,
26,,zbogdan185,2283,17,1951,dnL8krig,
27,FM,jeffforever,2507,16,2704,rochade-europa-schachzeitung,
28,,DogBrainSally,2064,16,2149,rochade-europa-schachzeitung,
29,,PORTOSIV,2085,16,2086,ajedrez--las-higueras-,
30,,dr54,2015,16,2038,sk-borca,
31,,Leonid_A,2088,16,1964,birman-and-half,
32,,VolkovArtem,2059,15,2111,dnL8krig,
33,,Ararat_K,1875,15,1747,dnL8krig,
34,,LAS58,2120,14,2278,birman-and-half,
35,,vagid39,1899,14,2111,----club-names-mikhail-chigorin,
36,,Birsch,2082,14,2100,rochade-europa-schachzeitung,
37,,amichaikk,2016,14,2047,birman-and-half,
38,,Jocker2282,1939,14,1961,dnL8krig,
39,,Sirob2020,1779,14,1751,rochade-europa-schachzeitung,
40,NM,oberschlumpf,2321,13,2486,horsey,
41,,Rock_Dog,2157,13,2129,dnL8krig,
42,,Wash8Cap,2014,13,2063,dnL8krig,
43,,f7er6h,2009,13,1979,----club-names-mikhail-chigorin,
44,,mailija,1981,13,1956,sk-borca,
45,,BenZionZigler,2183,13,1883,birman-and-half,
46,,itamar123,2250,12,2102,birman-and-half,
47,,Igorklepikov1970,1967,12,1985,dnL8krig,
48,,Karlo0300,2019,12,1931,horsey,
49,,MiroslavK,1949,11,1824,ajedrez--las-higueras-,
50,,Rectify,2236,10,2013,horsey,
51,,no_no_mind,1807,10,1926,horsey,
52,,Anatole_chess,1919,10,1895,----club-names-mikhail-chigorin,
53,,fanradu77,1923,10,1866,oberhausener-schachverein-1887,
54,,Corky49,1736,10,1846,oberhausener-schachverein-1887,
55,,DRLEONEL,1887,10,1678,ajedrez--las-higueras-,
56,,que2filip,2035,9,2000,sk-borca,
57,,Carlos3182,1801,9,1791,ajedrez--las-higueras-,
58,,Bufan,2324,8,2703,sk-borca,
59,,firefelix0382,1762,8,2179,oberhausener-schachverein-1887,
60,,masterofmechanic,1547,8,1703,oberhausener-schachverein-1887,
61,,Matete23,1217,8,1688,v-centenario,
62,,Coolplay,1952,8,1675,rochade-europa-schachzeitung,
63,,daherra,2219,7,1966,v-centenario,
64,,SG31moscito,1912,7,1744,rochade-europa-schachzeitung,
65,,oferglick,2239,6,2260,birman-and-half,
66,,cannypawn,1852,6,2013,oberhausener-schachverein-1887,
67,,EliseyG10,2061,6,1903,unicorn7love-fun-club,
68,,skborca,2041,6,1521,sk-borca,
69,,Colomboloza,1796,5,1946,ajedrez--las-higueras-,
70,,mkueppers,1878,5,1628,v-centenario,
71,,GraciasPorNada,2271,4,2089,ajedrez--las-higueras-,
72,,alexvallas,1342,4,1722,v-centenario,
73,,bagratuni242ayas,1632,4,1542,rochade-europa-schachzeitung,
74,,OSV87Karl49,1633,4,1527,oberhausener-schachverein-1887,
75,,rebl,2066,3,2287,rochade-europa-schachzeitung,
76,,Martynov333,2095,3,1802,dnL8krig,
77,,paveldsm,1573,3,1683,unicorn7love-fun-club,
78,,Santiagoc-9240,1768,3,1650,ajedrez--las-higueras-,
79,,danilysen,1528,3,1647,v-centenario,
80,,vivivaib,2055,2,2766,ajedrez--las-higueras-,
81,,macmac0815,1842,2,2077,rochade-europa-schachzeitung,
