Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,,IgorCh,2175,55,2184,taDf0vRb,
2,,gwasat,2210,48,2450,taDf0vRb,
3,IM,Unicorn7Love,2604,48,2448,unicorn7love-fun-club,
4,CM,TocinoEspacial,2479,46,2264,diagonal-alcorcon,
5,,MMnemonic,2183,45,2230,diagonal-alcorcon,
6,,EliseyG10,2151,44,2320,unicorn7love-fun-club,
7,,Altpatzer,2218,39,2290,sc-65-reilingen,
8,,SamuelNilssonTal,2230,37,2170,good-chess-amateurs,
9,,argonautow,1941,34,2163,sk-munster-1932,
10,,divor,2262,33,2205,taDf0vRb,
11,,GlukhovAn,2187,31,2110,unicorn7love-fun-club,
12,,Fear_No_Fails,2180,31,2082,unicorn7love-fun-club,
13,,Malyavko,2002,29,2171,taDf0vRb,
14,,Chekrezhov_Ivan_2009,2154,29,2079,unicorn7love-fun-club,
15,,Osmani_p,2213,28,2185,good-chess-amateurs,
16,FM,ruckzuck,2148,28,2132,stellenbosch--cape-town-chess-club-bundesliga,
17,,RocK_iT,2241,26,2239,satranc-club-2000,
18,,thomas_cross,1960,25,2147,sk-munster-1932,
19,,Passpaa,2179,24,2097,good-chess-amateurs,
20,,MiguelAbrantesRivero,2202,24,1944,team-isla-de-margarita,
21,,alphazerohuman,2427,23,2365,team-isla-de-margarita,
22,,Supermann_XXL,2306,22,2254,sc-65-reilingen,
23,,skrambler,1956,22,1945,good-chess-amateurs,
24,,MrTornB6,2081,21,2224,good-chess-amateurs,
25,,Mickey_Pearson12,1856,21,1974,stellenbosch--cape-town-chess-club-bundesliga,
26,,MoveTheWood,2193,20,2201,good-chess-amateurs,
27,,Lweey,1767,20,1953,stellenbosch--cape-town-chess-club-bundesliga,
28,,BadMoves4,1829,20,1830,sc-65-reilingen,
29,,akamil1982,1978,19,1929,satranc-club-2000,
30,,michaeljeromekieser1,1784,18,1861,stellenbosch--cape-town-chess-club-bundesliga,
31,,DmitriyNagiev,2232,17,2209,unicorn7love-fun-club,
32,,Reilingen1,2017,17,2083,sc-65-reilingen,
33,,SudarevIS,1997,17,1900,taDf0vRb,
34,,Lewdwig,1780,17,1793,stellenbosch--cape-town-chess-club-bundesliga,
35,,AmBreilbusch,2268,16,2440,sk-munster-1932,
36,,dibidabidu4321,1901,15,1885,diagonal-alcorcon,
37,,moisesssfg,2034,14,2153,team-isla-de-margarita,
38,,Alvaro_mago,2022,14,1952,team-isla-de-margarita,
39,,meatwall,1999,14,1906,good-chess-amateurs,
40,,lurifax2020,1575,14,1830,sk-munster-1932,
41,,Steiger,2132,13,1889,good-chess-amateurs,
42,,noincrement,2024,12,2125,sc-65-reilingen,
43,,Papagayo_Bruni5,2009,12,2084,diagonal-alcorcon,
44,,Alfilycaballo69,2100,12,1940,diagonal-alcorcon,
45,,gladiator46,1944,12,1909,stellenbosch--cape-town-chess-club-bundesliga,
46,,Rerys,2210,11,2456,unicorn7love-fun-club,
47,,endicraft,1984,10,1903,diagonal-alcorcon,
48,,harkne,1966,10,1791,sc-65-reilingen,
49,,sicilian007,1800,10,1772,stellenbosch--cape-town-chess-club-bundesliga,
50,,KartoshikS,1843,8,1888,unicorn7love-fun-club,
51,,Graf_Orlov,2271,8,1840,taDf0vRb,
52,,Serhat222,2062,6,2139,satranc-club-2000,
53,,Oleg-sbor,2236,6,1933,taDf0vRb,
54,,nickpruebas,2145,6,1852,diagonal-alcorcon,
55,,Sangsisu,1973,6,1797,satranc-club-2000,
56,,nogarD_eht,1905,6,1752,good-chess-amateurs,
57,,Baconverde,1729,6,1649,diagonal-alcorcon,
58,,Rafa2906,1771,6,1593,diagonal-alcorcon,
59,,mARiAgoNXalez,1808,5,1908,team-isla-de-margarita,
60,,Der_Reisende,1619,5,1633,sk-munster-1932,
61,,michael1368,1859,4,1925,stellenbosch--cape-town-chess-club-bundesliga,
62,,Zebulah,1930,4,1780,good-chess-amateurs,
63,,ThomasBa,1428,4,1720,sc-65-reilingen,
64,,FranSteelers,1939,4,1645,diagonal-alcorcon,
65,,Mario1369,1504,4,1628,stellenbosch--cape-town-chess-club-bundesliga,
66,,mila67,1499,4,1548,taDf0vRb,
67,,Robin_mag_nus,2208,3,1998,sische-fan,
68,,ModerMark,1940,2,2342,unicorn7love-fun-club,
69,,maslo_5658,1188,2,2307,unicorn7love-fun-club,
70,,Jorge045,1848,2,1870,team-isla-de-margarita,
71,,Dariolierma2016,997,2,1629,diagonal-alcorcon,
72,,Prochessbaby,1528,2,1430,diagonal-alcorcon,
73,,ArmandoZanella16,2319,0,,team-isla-de-margarita,
74,,NKWADI,2111,0,,stellenbosch--cape-town-chess-club-bundesliga,
75,,maaxim26092002,2114,0,1665,taDf0vRb,
76,,sercan-5988,2093,0,1491,satranc-club-2000,
77,,gagarinwin,1126,0,1334,unicorn7love-fun-club,
