Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,,Chekrezhov_Ivan_2009,2181,39,2301,unicorn7love-fun-club,
2,,Stella2211,2326,35,2413,fundacja-mistrzostwa-szachowego,
3,,tomaszpesko,2215,28,2189,fundacja-mistrzostwa-szachowego,
4,,Arav205,2092,24,2253,sv-dicker-turm-esslingen,
5,,schachkasper64,2250,24,2241,oberhausener-schachverein-1887,
6,,TheTirelessQuoter,1977,23,2045,winter-soldiers,
7,IM,Unicorn7Love,2608,22,2521,unicorn7love-fun-club,
8,,OSV1887,2026,20,2176,oberhausener-schachverein-1887,
9,,Shishka_v_shapke,2410,18,2403,winter-soldiers,
10,,asterixlerntschach,2237,17,2327,friends-of-gsk,
11,,dancio,2178,17,2131,fundacja-mistrzostwa-szachowego,
12,,gskfan,2096,17,1984,friends-of-gsk,
13,,Krika_C_mIshkoI,1811,16,2081,unicorn7love-fun-club,
14,,Akshak,2397,13,2084,winter-soldiers,
15,,TamaraStreams,1779,13,1921,winter-soldiers,
16,,DavidWilson1980,2198,12,2099,english-chess-players,
17,,Nils2005,2279,12,2091,sv-dicker-turm-esslingen,
18,,Henny_Penny,1939,12,1816,english-chess-players,
19,,Corky49,1760,11,1863,oberhausener-schachverein-1887,
20,,slavensen,1975,11,1796,fundacja-mistrzostwa-szachowego,
21,,Alashan,2233,10,2063,sv-dicker-turm-esslingen,
22,,Flyingspur787,1784,10,1977,oberhausener-schachverein-1887,
23,,Ostfriesenkind,2314,9,2150,friends-of-gsk,
24,,GlukhovAn,2218,9,2133,unicorn7love-fun-club,
25,,firefelix0382,1814,9,2013,oberhausener-schachverein-1887,
26,,zdzichal,2154,8,1984,fundacja-mistrzostwa-szachowego,
27,,OSV87Karl49,1637,8,1778,oberhausener-schachverein-1887,
28,,Aleks_1977,1789,8,1747,fundacja-mistrzostwa-szachowego,
29,,Lucanian2,1721,8,1744,winter-soldiers,
30,,smartypantschess,2284,7,2353,english-chess-players,
31,,Anubhav1302,1647,7,1643,winter-soldiers,
32,,meteoritx23,2237,6,2216,friends-of-gsk,
33,,Adnan_4,2281,6,2195,winter-soldiers,
34,,Mynameislegion,2173,6,2064,winter-soldiers,
35,,einz_m3nsch,1919,6,2016,oberhausener-schachverein-1887,
36,,maslo_5658,1231,6,1919,unicorn7love-fun-club,
37,,TurmInDerBrandung,2032,6,1804,sv-dicker-turm-esslingen,
38,,rentgen56,1797,6,1586,fundacja-mistrzostwa-szachowego,
39,,maxmlynek,2005,5,2168,winter-soldiers,
40,,Rolandseck,2007,5,2037,friends-of-gsk,
41,,NiceG0mer4680,1738,5,1985,unicorn7love-fun-club,
42,,RudolfPaul,2262,4,2555,friends-of-gsk,
43,,ChoszcznoWarrior,2011,4,2201,winter-soldiers,
44,,AnHonestPlayer1,2134,4,2090,unicorn7love-fun-club,
45,,eoins2345,1757,4,1868,winter-soldiers,
46,,sgray10,1608,4,1464,winter-soldiers,
47,,girutina,2248,3,2105,winter-soldiers,
48,,Sinivi,2225,3,1803,checkmate-society,
49,,throwaway1234444,1800,2,2477,winter-soldiers,
50,,Rutot34,2074,2,2299,oberhausener-schachverein-1887,
51,,Marqu1s,1943,2,2144,unicorn7love-fun-club,
52,,fanradu77,1953,2,1981,oberhausener-schachverein-1887,
53,,Pilot100,2191,2,1741,fundacja-mistrzostwa-szachowego,
54,,laincoubert94,1267,2,1695,winter-soldiers,
55,,Jeggy263,1564,2,1417,oberhausener-schachverein-1887,
56,,MarulDaghan,1816,1,2230,winter-soldiers,
57,,KetyBB,2430,0,,fundacja-mistrzostwa-szachowego,
58,,daherra,2239,0,,v-centenario,
59,,santibundesliga,2217,0,,v-centenario,
60,,GHM-777,2143,0,,unicorn7love-fun-club,
61,,Danilovich45,1999,0,,checkmate-society,
62,,GnontoIsTheGoat,1896,0,,winter-soldiers,
63,,BungleJohn,1352,0,1723,english-chess-players,
64,,Ceburashka,2392,0,1531,unicorn7love-fun-club,
65,,danilysen,1520,0,,v-centenario,
66,,dknowogrod,1844,0,1513,fundacja-mistrzostwa-szachowego,
67,,Demonusek,1832,0,1489,fundacja-mistrzostwa-szachowego,
68,,KanwarChess,1809,0,1337,winter-soldiers,
69,,Prathmesh0555,2283,0,1275,winter-soldiers,
70,,sarppa5,1144,0,701,winter-soldiers,
