Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,,bahamega,2386,69,2454,ulugbek-company,
2,FM,Strelok2222,2524,48,2393,fsinchess,
3,,Gmdalods-16,2254,46,2245,the-blockchain-chess-team,
4,,Recobachess,2541,42,2442,tb9gbVME,
5,,Toluwani_keenchess,2265,37,2310,the-blockchain-chess-team,
6,,LeonidSmirnov,2337,37,2120,tb9gbVME,
7,,starypolak,2555,36,2490,freibauer-doneken,
8,,TheMadman4rmDaSouth,2114,34,2115,the-blockchain-chess-team,
9,,manffor,2272,30,2488,tb9gbVME,
10,,baerlerBaerli,2245,30,2433,freibauer-doneken,
11,,Bayramogly1975,2382,30,2334,ulugbek-company,
12,,Arslan_2012,1866,30,2237,ulugbek-company,
13,,Pochaenok,2099,28,2445,tb9gbVME,
14,,EliseyG10,2222,28,2260,unicorn7love-fun-club,
15,,Rahym2887,2011,28,2028,ulugbek-company,
16,,NJn79nj63,2171,26,2261,ulugbek-company,
17,,CCDC0500,1910,26,2043,ulugbek-company,
18,,Paldiski,2098,25,2277,tb9gbVME,
19,,dadice,2180,25,2153,freibauer-doneken,
20,,STEHOS,2007,25,2142,moon-club,
21,,Mustvee,1846,23,2367,tb9gbVME,
22,,tangible_ay,2215,23,2293,the-blockchain-chess-team,
23,,the_dangerous_pawn,2052,22,2024,tg-biberach-club,
24,,AnHonestPlayer1,2102,21,2020,unicorn7love-fun-club,
25,,jaki01,2223,21,2004,the-blockchain-chess-team,
26,,Chepezk,2052,20,2267,fsinchess,
27,,Dakods-16,2270,20,2256,the-blockchain-chess-team,
28,FM,Skibbi,2282,20,2148,kobra-11,
29,,DDs62,1994,20,2115,fsinchess,
30,,SturmfriedHaudrauf,1890,20,2063,kobra-11,
31,,Amula7,2095,20,2058,wasa-sk,
32,,tobilobajob,1984,20,2050,the-blockchain-chess-team,
33,,Chekrezhov_Ivan_2009,2145,20,1995,unicorn7love-fun-club,
34,,WeDaChris,2034,20,1865,tg-biberach-club,
35,,panda1924,2121,19,1969,freibauer-doneken,
36,,Nicegen,2022,18,2052,kobra-11,
37,,jomos,1960,17,2392,moon-club,
38,FM,winawer1,2166,17,2224,tg-biberach-club,
39,,krishanu2009,2062,17,2129,moon-club,
40,,Wuff,1959,17,1933,kobra-11,
41,,HARSHITYADAV,1913,17,1893,moon-club,
42,,Artek228,2248,16,2285,unicorn7love-fun-club,
43,,Krika_C_mIshkoI,1828,16,2184,unicorn7love-fun-club,
44,,ZGM_Samostically,2093,16,2108,the-blockchain-chess-team,
45,,Gozel-05,2106,16,2021,ulugbek-company,
46,,FCastro17,2093,16,1966,the-blockchain-chess-team,
47,,rosmarly,1997,16,1919,the-blockchain-chess-team,
48,,VovaN171,1958,16,1887,fsinchess,
49,,Ringwald,2064,15,2068,tg-biberach-club,
50,,andrei6269,2051,15,1999,fsinchess,
51,,Atayew2010,2029,14,2225,ulugbek-company,
52,,Bajamali,2199,14,2021,tg-biberach-club,
53,,Jonbellionfan,2096,14,2017,the-blockchain-chess-team,
54,,Fexxox,1873,14,2016,kobra-11,
55,,vadimreimche,2079,14,1897,tg-biberach-club,
56,,Just_ola,1851,14,1848,the-blockchain-chess-team,
57,,DoenekenFreibauer,1916,14,1827,freibauer-doneken,
58,,Kapfle,1894,13,1949,tg-biberach-club,
59,,SFWinda,1954,13,1861,kobra-11,
60,,LucOrient,2237,12,2073,tg-biberach-club,
