Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,FM,Creative68,2419,73,2417,AYmU6tgT,
2,FM,UnknownSuperGM,2613,71,2480,dark-horse,
3,FM,Mrios,2331,51,2543,equipo-bolivar-mejor,
4,,KameHameHaa007,2350,48,2322,dark-horse,
5,,Kasarevski97,2315,47,2224,demonchess,
6,WIM,ketchess,2486,46,2559,dark-horse,
7,,jacf18,2433,43,2258,equipo-bolivar-mejor,
8,,MAMAAA,2235,41,2355,AYmU6tgT,
9,,NebulaOrchestra,2341,41,2285,AYmU6tgT,
10,CM,Thecourseoisildur,2538,40,2526,AYmU6tgT,
11,,Babasik23,2305,39,2391,cbrfchess,
12,,Ksa1992,2238,39,2315,KUKXWvZs,
13,,divor,2271,39,2236,taDf0vRb,
14,,myrzilkaaaa,2137,39,2150,3pe91Ykb,
15,,Bolotinskiy,2355,36,2333,dark-horse,
16,,Lumia640,2454,36,2276,cbrfchess,
17,,Dariana2003,1772,36,2273,unicorn7love-fun-club,
18,,zbogdan185,2211,36,2207,dnL8krig,
19,FM,Yuriy1980,2230,35,2213,cbrfchess,
20,,Rock_Dog,2160,34,2154,dnL8krig,
21,,ivan6587,2180,34,2124,AYmU6tgT,
22,,SantiagoMedina2016,2278,32,2218,equipo-bolivar-mejor,
23,,alp12eren02,1936,31,2161,dark-horse,
24,,VolkovArtem,2027,31,1983,dnL8krig,
25,,macro_forever,2144,30,2298,cbrfchess,
26,,KanonDeGeminis55,2094,30,1923,demonchess,
27,,dovi122,1930,29,1894,dark-horse,
28,,EscuelaCreandoGenios,2112,28,2183,equipo-bolivar-mejor,
29,,forerosmart,2178,28,2172,equipo-bolivar-mejor,
30,,Victor_Fomenko,2218,27,2220,cbrfchess,
31,,KING_CHESS_1,2261,27,2196,3pe91Ykb,
32,,Amerika_MK,2163,27,2156,3pe91Ykb,
33,,volapuk,2042,26,2104,cbrfchess,
34,,Nikulin_D,2121,26,2075,AYmU6tgT,
35,,Eugeny65,1934,26,1959,cbrfchess,
36,,tillubombay,2107,25,2077,dark-horse,
37,,Armel2020,2040,25,2067,equipo-bolivar-mejor,
38,,Melastry,2012,25,1990,3pe91Ykb,
39,,fogg68,2262,24,2180,3pe91Ykb,
40,,nyr-75,2046,24,2134,3pe91Ykb,
41,,juego_por_divercion,1988,24,1915,demonchess,
42,,labh,2132,23,2060,equipo-bolivar-mejor,
43,,Jocker2282,1858,23,1829,dnL8krig,
44,,segonov,2059,22,2071,dnL8krig,
45,,Michailovish72,1926,22,1879,3pe91Ykb,
46,,Caspablanca5,2136,21,2111,equipo-bolivar-mejor,
47,,Guru_Sergeich,2149,20,2088,3pe91Ykb,
