Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,,Dariana2003,1997,33,2309,unicorn7love-fun-club,
2,,HaiResita,2328,32,2187,cs-universitatea-craiova,
3,,MW1966,2448,31,2282,sv-1920-hofheim,
4,,Darthweber,2483,30,2456,sv-1920-hofheim,
5,,Tal3112,2143,30,2148,scacchisti-coraggiosi--friends,
6,,HelloIamMarc,2232,29,2361,sf-plochingen,
7,,pedinaignorante2,2173,26,2389,scacchisti-coraggiosi--friends,
8,WGM,vwnv7,2515,26,2362,wasa-sk,
9,,EliseyG10,2226,25,2285,unicorn7love-fun-club,
10,,egolav,2339,25,2116,wasa-sk,
11,,Lobao42,2054,24,2139,sv-1920-hofheim,
12,,johnny_ragouzi,2162,24,2135,chessdojo,
13,,Morganplus8,2154,23,2270,wasa-sk,
14,,Trullebullen,2333,22,2277,wasa-sk,
15,,Krika_C_mIshkoI,1892,19,2266,unicorn7love-fun-club,
16,,NKiss,2303,19,2141,sk-mering,
17,,Slobodyan,2094,18,2134,scacchisti-coraggiosi--friends,
18,,seppomuck,2168,18,2117,sk-mering,
19,,Prime_Gives_aura,2093,17,2153,scacchisti-coraggiosi--friends,
20,,Slowhand80,2307,16,2395,sg-trier-1877,
21,,Nahual,2107,16,2125,chessdojo,
22,,rhein33,1949,16,2117,sg-trier-1877,
23,,MaddyMaddy,1998,16,1968,scacchisti-coraggiosi--friends,
24,,Gabry2014,1998,16,1895,scacchisti-coraggiosi--friends,
25,,lucapopescuvava,2167,15,2094,cs-universitatea-craiova,
26,,Thompson67,2000,15,2071,sf-plochingen,
27,,DaniloBrozzi,2399,14,2265,scacchisti-coraggiosi--friends,
28,,pluto16,2157,14,2182,sf-plochingen,
29,,Thorbiddles,2305,14,2154,chessdojo,
30,,playerchess2019,1854,14,2145,sg-trier-1877,
31,,TudA,2074,14,1854,cs-universitatea-craiova,
32,,schieferberg,2062,13,1955,sv-1920-hofheim,
33,,T-OH,1895,13,1911,cs-universitatea-craiova,
34,,nordel,1868,12,2172,sv-1920-hofheim,
35,,Amula7,2065,12,1895,wasa-sk,
36,,Chekrezhov_Ivan_2009,2107,12,1851,unicorn7love-fun-club,
37,NM,AleLeo2008,2260,11,2325,scacchisti-coraggiosi--friends,
38,,K-S-M1983,2171,11,2174,unicorn7love-fun-club,
39,,Zeroshark_02,2073,11,1975,sk-mering,
40,,riesel,2025,11,1958,sv-1920-hofheim,
41,,SamuMin,2060,10,1942,scacchisti-coraggiosi--friends,
42,,alex_pfaff_willsbach,2108,10,1941,sf-plochingen,
43,,RobertdN68,2005,10,1934,sf-plochingen,
44,,RiskyRook,1973,8,2132,sk-mering,
45,,Timwestlund,2072,8,2114,chessdojo,
46,,tj_2000,2058,8,1945,sk-mering,
47,,RichardGier,2206,7,2159,sg-trier-1877,
48,,Babbonatale75,1983,7,1907,scacchisti-coraggiosi--friends,
49,,ClaudioEmanuele,2187,6,2342,scacchisti-coraggiosi--friends,
50,,Jojo-g,2128,6,2209,scacchisti-coraggiosi--friends,
51,,mklahn,1712,6,1839,chessdojo,
52,,Realraptor,1704,6,1788,chessdojo,
53,,BeauxYeux,2011,5,2028,chessdojo,
54,,Valerio2k11,2168,4,2403,scacchisti-coraggiosi--friends,
55,,onamonapiaa,2025,4,2157,chessdojo,
56,,cocacola10,1722,4,2143,scacchisti-coraggiosi--friends,
57,,danatcramlingdotcom,2176,4,1943,wasa-sk,
58,,ChessUnderFire_Jan,1694,4,1908,chessdojo,
59,,Marqu1s,1926,4,1839,unicorn7love-fun-club,
60,,fooschess,1978,3,1854,chessdojo,
61,,Crost_Ino,2288,2,2499,scacchisti-coraggiosi--friends,
62,,DrFranky001,2172,2,2482,sv-1920-hofheim,
63,,chacaritachess,2172,2,2051,scacchisti-coraggiosi--friends,
64,,ElenaCa,1626,2,1930,scacchisti-coraggiosi--friends,
65,,SAB1994MB,1644,2,1897,scacchisti-coraggiosi--friends,
66,,maslo_5658,1261,2,1549,unicorn7love-fun-club,
67,,Angelobata,1412,2,1481,scacchisti-coraggiosi--friends,
68,,Cobosapien,1689,1,1803,chessdojo,
69,,Krosh13,2109,0,,0EghwKKn,
70,,Filipok_149,2037,0,,0EghwKKn,
71,,Royal_Seeker,2021,0,,sv-1920-hofheim,
72,,mr_smart100,1990,0,,0EghwKKn,
73,,YusifPanahov,1816,0,,0EghwKKn,
74,,il_Parigino,1940,0,1653,scacchisti-coraggiosi--friends,
75,,Wasanator,2090,0,1627,wasa-sk,
76,,ultrahighdensity,1619,0,,chessdojo,
77,,RomanFighter2021,1768,0,1611,0EghwKKn,
78,,Sgenios2024,1530,0,1527,chessdojo,
79,,Zakirov_Samat2016,1514,0,,0EghwKKn,
80,,Lavith2016,853,0,1502,chessdojo,
81,,notchessplay,1511,0,1468,scacchisti-coraggiosi--friends,
82,,GlukhovAn,2184,0,1453,unicorn7love-fun-club,
83,,Vk_2509,1917,0,1431,chessdojo,
84,,gp_baldacci,2273,0,1359,scacchisti-coraggiosi--friends,
85,,peresvetborisov,1178,0,,0EghwKKn,
86,,abourg84,1266,0,1131,chessdojo,
87,,DolphinKits,1066,0,,unicorn7love-fun-club,
