Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,,Reshetkov_Kirill,2482,57,2500,maska-x,
2,,Chess-QueenM,2353,56,2403,v-centenario,
3,,Matenpocas,2364,53,2527,v-centenario,
4,IM,Klimenko_Sergey_IM,2402,45,2511,3pe91Ykb,
5,,Melastry,2093,33,2153,3pe91Ykb,
6,FM,Rober10,2333,29,2451,v-centenario,
7,,BalazsA,2117,29,2099,east-tornado,
8,,Sizzi_Dragon,2180,28,2141,schachclub-bayer-leverkusen-ev,
9,,TudA,2033,28,1872,cs-universitatea-craiova,
10,,mishurashi2505,2117,26,2222,maska-x,
11,,selss,2153,26,2172,schachclub-bayer-leverkusen-ev,
12,,Rectify,2200,26,2129,horsey,
13,,Alexandr_212,2266,25,2107,maska-x,
14,,sansechess,2208,24,2223,v-centenario,
15,,Nur-75,2087,23,2042,3pe91Ykb,
16,,Treeon,1953,22,2092,maska-x,
17,,nana717,1936,22,2052,Gm3XMvWV,
18,NM,oberschlumpf,2303,21,2207,horsey,
19,,Alexi16,1843,21,2159,Gm3XMvWV,
20,,Karlo0300,2073,20,2170,horsey,
21,,Brutalu,2146,20,2086,east-tornado,
22,,TurmInDerBrandung,2047,20,2046,sv-dicker-turm-esslingen,
23,,Chekrezhov_Ivan_2009,2079,20,1946,unicorn7love-fun-club,
24,,HaiResita,2312,19,2217,cs-universitatea-craiova,
25,,JanHeinrich,2023,19,2077,east-tornado,
26,,MagomedLushnikov,2190,18,2356,3pe91Ykb,
27,,Despair911,1775,18,1993,maska-x,
28,,domna1983,2004,18,1887,Gm3XMvWV,
29,,D0ctor11,1818,18,1851,maska-x,
30,,Rock_Dog,2164,17,2037,3pe91Ykb,
31,,no_no_mind,1945,16,2025,horsey,
32,,Michael1962,2129,16,2018,schachclub-bayer-leverkusen-ev,
33,,SalukhovVladimir,1656,16,1979,Gm3XMvWV,
34,,WoodChem,1970,16,1807,horsey,
35,,VinCroatia,2010,15,2151,sv-dicker-turm-esslingen,
36,,Alashan,2218,15,2101,sv-dicker-turm-esslingen,
37,,lAnsarmm789,1824,15,1835,3pe91Ykb,
38,,Maksim000000,1402,15,1820,3pe91Ykb,
39,,Kamronbek-Yusubbaev5,1796,14,2238,3pe91Ykb,
40,,Hikaru_Oka_2,2122,14,2041,horsey,
41,,lucapopescuvava,2125,14,2010,cs-universitatea-craiova,
42,,Arav205,2068,14,2008,sv-dicker-turm-esslingen,
43,,Jahongir1973,1933,13,2063,3pe91Ykb,
44,,raulmaf,2189,13,1973,v-centenario,
45,,elmoreno140,1815,13,1721,v-centenario,
46,,apigabudebakel123,2139,12,1994,east-tornado,
47,,kualhu,1873,11,1989,Gm3XMvWV,
48,,SashaLiasotskiy,1744,11,1826,maska-x,
49,,taurielchess,1776,11,1697,v-centenario,
50,FM,HooCee,2374,10,2068,horsey,
51,,Aleksandr-Kim2,1319,10,1895,3pe91Ykb,
52,,Risen_ai,1904,10,1803,Gm3XMvWV,
53,,kumarovvv,1433,10,1733,3pe91Ykb,
54,,T-OH,1887,9,1799,cs-universitatea-craiova,
55,,St1erL1Tz,1868,9,1721,maska-x,
56,,VetalPriz1991,1752,8,1644,3pe91Ykb,
57,,Min943,1768,7,1707,maska-x,
58,,RustamMazhitov,1871,7,1667,3pe91Ykb,
59,,Bueno-01,1758,6,1737,v-centenario,
60,,laci2765,2102,6,1709,east-tornado,
61,,Kakas9797,2325,5,2183,east-tornado,
62,,amvreliy,1381,5,1601,3pe91Ykb,
63,,MoiRon,2012,5,1564,horsey,
64,,ChessAlex50,2206,4,2138,3pe91Ykb,
65,,Rkty,1979,4,1663,3pe91Ykb,
66,,Pablo_Galitski,1485,3,1886,Gm3XMvWV,
67,,bahtiyor1980,1918,3,1877,3pe91Ykb,
68,,DerVegetarier,2031,3,1737,schachclub-bayer-leverkusen-ev,
69,,ladislavsimko89,1590,3,1729,east-tornado,
70,,Marqu1s,1927,2,1946,unicorn7love-fun-club,
71,,Caritas92,2088,2,1841,cs-universitatea-craiova,
72,,Kezzha,1554,2,1683,Gm3XMvWV,
73,,Evgm_0,1705,2,1582,Gm3XMvWV,
74,,danilysen,1572,2,1494,v-centenario,
75,,Rednikyli,1307,2,1428,Gm3XMvWV,
76,,daherra,2183,1,1286,v-centenario,
77,,dugong161,1802,0,,horsey,
78,,glebunator2017,1632,0,,unicorn7love-fun-club,
79,,Berrcules,1619,0,,3pe91Ykb,
80,,AdGit,1441,0,1233,unicorn7love-fun-club,
81,,sevachka,1258,0,1201,unicorn7love-fun-club,
82,,DanilSpore,1677,0,1106,3pe91Ykb,
