Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,,elrayohavuelto,2204,63,2233,los-amigos-de-tiwinza75,
2,IM,Unicorn7Love,2589,57,2448,unicorn7love-fun-club,
3,,fanboybobbyfischer,2437,55,2430,los-amigos-de-tiwinza75,
4,,Kingofkings7,2320,51,2303,los-amigos-de-tiwinza75,
5,,El_destructordesapos,2375,50,2279,los-amigos-de-tiwinza75,
6,,Chekrezhov_Ivan_2009,2128,47,2323,unicorn7love-fun-club,
7,,NKiss,2333,46,2458,sk-mering,
8,,HelloIamMarc,2218,42,2176,sf-plochingen,
9,,PioPeixoto,2208,37,2575,los-amigos-de-tiwinza75,
10,,janengfeldt,2145,35,2137,schachfreunde-kreis-wesel,
11,,Altpatzer,2200,34,2224,sc-65-reilingen,
12,,pluto16,2184,31,2306,sf-plochingen,
13,,Fransisco1974,2080,30,2250,time-waterfall,
14,,raf2585,2064,30,2167,lZEV8cdI,
15,,Thompson67,2041,30,2114,sf-plochingen,
16,,Zeroshark_02,2099,29,2150,sk-mering,
17,,EliseyG10,2190,29,2028,unicorn7love-fun-club,
18,,CnPv3vca,2140,28,2149,team__b,
19,,Dabur,1959,26,2000,lZEV8cdI,
20,,aarsheim,1923,26,1977,schachfreunde-kreis-wesel,
21,,Tiwinza75,2138,25,2101,los-amigos-de-tiwinza75,
22,,Haparanda10,2113,24,2060,schachfreunde-kreis-wesel,
23,,sergey12347,1930,23,1997,lZEV8cdI,
24,,Gennadiy1958,2011,23,1990,lZEV8cdI,
25,,tj_2000,2112,22,2153,sk-mering,
26,,Malkolmn,1946,22,1914,lZEV8cdI,
27,,sgigerin,2284,21,2378,lZEV8cdI,
28,,DagamoStyle,2046,21,2054,schachfreunde-kreis-wesel,
29,,ThiKu,1889,21,1878,team__b,
30,,Nordlicht_70,1923,21,1870,team__b,
31,,vsrb2006,1942,20,1992,time-waterfall,
32,,Solomon4k,1987,19,2276,unicorn7love-fun-club,
33,,Frank-el-PUG,2091,19,2259,los-amigos-de-tiwinza75,
34,,Bogdan_Zakaryan_2013,2091,18,2266,unicorn7love-fun-club,
35,,RobertdN68,1984,18,1886,sf-plochingen,
36,,kavkav2,1798,18,1855,lZEV8cdI,
37,,alex_pfaff_willsbach,2042,16,1878,sf-plochingen,
38,,SweetBoom888,1859,16,1859,time-waterfall,
39,,KB91,2028,15,1956,schachfreunde-kreis-wesel,
40,,harkne,1919,14,1851,sc-65-reilingen,
41,,KULAKOV_VN,1947,14,1840,lZEV8cdI,
42,,kistenfeger,1636,14,1673,sf-plochingen,
43,,Vitalionoff,1884,13,1784,time-waterfall,
44,,Koebus,2013,12,1922,team__b,
45,,Stepan_atac,1718,11,1816,lZEV8cdI,
46,,AnHonestPlayer1,2054,10,1856,unicorn7love-fun-club,
47,,irinabodrova,1852,10,1766,lZEV8cdI,
48,,Babich_yes,1943,9,2196,time-waterfall,
49,,Trumpf99,2123,9,1902,schachfreunde-kreis-wesel,
50,,RiskyRook,1960,9,1880,sk-mering,
51,,BadMoves4,1822,9,1699,sc-65-reilingen,
52,,ThomasBa,1459,9,1587,sc-65-reilingen,
53,FM,DBBM,2309,8,2228,team__b,
54,,trenerdarko,1938,8,2196,los-amigos-de-tiwinza75,
55,,Sesam_industrias,1730,8,1994,los-amigos-de-tiwinza75,
56,,Reilingen1,1997,8,1985,sc-65-reilingen,
57,,Newxob,1651,8,1712,unicorn7love-fun-club,
58,,DrManStrong,1924,7,2098,time-waterfall,
59,,Krika_C_mIshkoI,1873,7,2060,unicorn7love-fun-club,
60,,Hans-Helmut,1698,7,1491,team__b,
61,,queensgambit-smile,2170,6,1915,sc-65-reilingen,
62,,AlArmen,1880,6,1757,schachfreunde-kreis-wesel,
63,,stancho31,1807,6,1605,time-waterfall,
64,,MEHMAN1205,2135,5,2380,lZEV8cdI,
65,,Juliano123,1954,5,1808,sg-bastorf-mv,
66,,ACM_AlexQuark,1770,5,1707,time-waterfall,
67,,Harditrk,1677,4,2064,unicorn7love-fun-club,
68,,Muckelchen,2059,4,1969,sg-bastorf-mv,
69,,Min49,1833,4,1802,time-waterfall,
70,,Satuev_Emin95,2107,3,2009,sg-bastorf-mv,
71,,maslo_5658,1260,3,1572,unicorn7love-fun-club,
72,,WolkeWeiss,1702,3,1491,sg-bastorf-mv,
73,FM,munster1,2555,2,2599,schachfreunde-kreis-wesel,
74,,ModerMark,1936,2,2416,unicorn7love-fun-club,
75,,chilico,2055,2,1986,los-amigos-de-tiwinza75,
76,,noincrement,2021,2,1786,sc-65-reilingen,
77,,echoo99,1413,2,1469,sk-mering,
78,,All-Starss,2630,0,,los-amigos-de-tiwinza75,
79,,Shirojk1000,2285,0,,los-amigos-de-tiwinza75,
80,,LevGLev,2155,0,,unicorn7love-fun-club,
81,,Frenchdismas,1982,0,,time-waterfall,
82,,EL_TRANSPORTISTA,1829,0,,los-amigos-de-tiwinza75,
83,,kop85,1349,0,1474,unicorn7love-fun-club,
84,,Brownbearchess88,2126,0,1365,sc-65-reilingen,
85,,MATE-INEVITABLE,1992,0,1344,los-amigos-de-tiwinza75,
86,,DolphinKits,1271,0,,unicorn7love-fun-club,
87,,Ipon,1564,0,1132,team__b,
88,,avakadocat,1181,0,891,unicorn7love-fun-club,
